symbol	location	cluster	Degree
FABP1	PROTEIN	1	1936
FABP2	PROTEIN	1	1939
FABP4	PROTEIN	1	1929
FABP6	PROTEIN	1	1912
FABP9	PROTEIN	1	1961
FAM3B	PROTEIN	1	2046
FAM3C	PROTEIN	1	1996
FAP	PROTEIN	1	1812
FAS	PROTEIN	1	1879
FASLG	PROTEIN	1	1858
FCAR	PROTEIN	1	1754
FCER2	PROTEIN	1	1917
FCGR2A	PROTEIN	1	1892
FCGR3B	PROTEIN	1	1827
FCN2	PROTEIN	1	1866
FCRL1	PROTEIN	1	1828
FCRL2	PROTEIN	1	1823
FCRL5	PROTEIN	1	1813
FCRL6	PROTEIN	1	1880
FCRLB	PROTEIN	1	1937
FETUB	PROTEIN	1	1897
FGF19	PROTEIN	1	1821
FGF21	PROTEIN	1	1855
FGF23	PROTEIN	1	1991
FGF5	PROTEIN	1	1930
FGFBP1	PROTEIN	1	1913
FGFR2	PROTEIN	1	1954
FGR	PROTEIN	1	1874
FIS1	PROTEIN	1	1944
FKBP4	PROTEIN	1	1840
FKBP5	PROTEIN	1	1936
FLRT2	PROTEIN	1	1913
FLT1	PROTEIN	1	1876
FLT3LG	PROTEIN	1	1928
FLT4	PROTEIN	1	1891
FMNL1	PROTEIN	1	1903
FOLR1	PROTEIN	1	1929
FOLR2	PROTEIN	1	1926
FOLR3	PROTEIN	1	1875
FRZB	PROTEIN	1	1870
FST	PROTEIN	1	1851
FSTL3	PROTEIN	1	1958
FUCA1	PROTEIN	1	1799
FURIN	PROTEIN	1	1849
FUT3_FUT5	PROTEIN	1	1955
FUT8	PROTEIN	1	1854
FXN	PROTEIN	1	1996
FYB1	PROTEIN	1	1953
GAL	PROTEIN	1	1895
GALNT10	PROTEIN	1	1945
GALNT2	PROTEIN	1	1845
GALNT7	PROTEIN	1	1888
GAS6	PROTEIN	1	1819
GCNT1	PROTEIN	1	1876
GDF15	PROTEIN	1	1969
GDF2	PROTEIN	1	1954
GDNF	PROTEIN	1	1923
GFAP	PROTEIN	1	1927
GFER	PROTEIN	1	1933
GFRA1	PROTEIN	1	1937
GFRA2	PROTEIN	1	1943
GFRA3	PROTEIN	1	1916
GGH	PROTEIN	1	1927
GGT1	PROTEIN	1	1861
GGT5	PROTEIN	1	1881
GH1	PROTEIN	1	1848
GKN1	PROTEIN	1	1873
GLB1	PROTEIN	1	1901
GLO1	PROTEIN	1	1743
GLOD4	PROTEIN	1	1834
GMPR	PROTEIN	1	1792
GNLY	PROTEIN	1	1890
GP1BA	PROTEIN	1	1899
GP2	PROTEIN	1	1866
GP6	PROTEIN	1	1947
GPA33	PROTEIN	1	1789
GPC1	PROTEIN	1	1933
GPC5	PROTEIN	1	1933
GPNMB	PROTEIN	1	1871
GPR37	PROTEIN	1	1899
GRAP2	PROTEIN	1	1955
GRN	PROTEIN	1	1888
GRPEL1	PROTEIN	1	1973
GSTA1	PROTEIN	1	1799
GUCA2A	PROTEIN	1	1946
GUSB	PROTEIN	1	1819
GYS1	PROTEIN	1	1948
GZMA	PROTEIN	1	1911
GZMB	PROTEIN	1	1853
GZMH	PROTEIN	1	1806
HAGH	PROTEIN	0	1731
HAO1	PROTEIN	1	1879
HAVCR1	PROTEIN	1	1978
HAVCR2	PROTEIN	1	1938
HBEGF	PROTEIN	1	1878
HBQ1	PROTEIN	1	1739
HCLS1	PROTEIN	1	1864
HDGF	PROTEIN	1	1776
HEXIM1	PROTEIN	1	1929
HGF	PROTEIN	1	1862
HLA-DRA	PROTEIN	1	1859
HLA-E	PROTEIN	1	1923
HMBS	PROTEIN	1	1729
HMOX1	PROTEIN	1	1875
HMOX2	PROTEIN	1	1944
HNMT	PROTEIN	1	1926
HPCAL1	PROTEIN	1	1967
HS3ST3B1	PROTEIN	1	1908
HS6ST1	PROTEIN	1	1996
HSD11B1	PROTEIN	1	1894
HSPB1	PROTEIN	1	1968
HSPB6	PROTEIN	1	1912
HSPG2	PROTEIN	1	1968
HTRA2	PROTEIN	1	1920
HYAL1	PROTEIN	1	1907
HYOU1	PROTEIN	1	1930
ICAM1	PROTEIN	1	1881
ICAM2	PROTEIN	1	1841
ICAM3	PROTEIN	1	1748
ICAM4	PROTEIN	1	1802
ICAM5	PROTEIN	1	1868
ICOSLG	PROTEIN	1	1851
IDS	PROTEIN	1	1861
IDUA	PROTEIN	1	1754
IFNG	PROTEIN	1	1905
IFNGR1	PROTEIN	1	1894
IFNGR2	PROTEIN	1	1886
IFNLR1	PROTEIN	1	1937
IGF1R	PROTEIN	1	1926
IGF2R	PROTEIN	1	1895
IGFBP1	PROTEIN	1	1840
IGFBP2	PROTEIN	1	1882
IGFBP3	PROTEIN	1	1886
IGFBP4	PROTEIN	1	1944
IGFBP6	PROTEIN	1	1967
IGFBP7	PROTEIN	1	1894
IGFBPL1	PROTEIN	1	1929
IGSF3	PROTEIN	1	1919
IGSF8	PROTEIN	1	1941
IKBKG	PROTEIN	1	1957
IL10RB	PROTEIN	1	1932
IL12A_IL12B	PROTEIN	1	1893
IL12B	PROTEIN	1	1913
IL13RA1	PROTEIN	1	1977
IL15	PROTEIN	1	1926
IL16	PROTEIN	1	1927
IL17C	PROTEIN	1	1930
IL17D	PROTEIN	1	1898
IL17RA	PROTEIN	1	1896
IL17RB	PROTEIN	1	1858
IL18	PROTEIN	1	1877
IL18BP	PROTEIN	1	1920
IL18R1	PROTEIN	1	1947
IL18RAP	PROTEIN	1	1825
IL19	PROTEIN	1	1877
IL1R1	PROTEIN	1	1885
IL1R2	PROTEIN	1	1857
IL1RAP	PROTEIN	1	1811
IL1RL1	PROTEIN	1	1877
IL1RL2	PROTEIN	1	1828
IL2RA	PROTEIN	1	1885
IL32	PROTEIN	1	1895
IL4R	PROTEIN	1	1938
IL5RA	PROTEIN	1	1717
IL6	PROTEIN	1	1849
IL6R	PROTEIN	1	1908
IL6ST	PROTEIN	1	1882
IL7	PROTEIN	1	1803
IL7R	PROTEIN	1	1859
IMPA1	PROTEIN	1	1914
INHBC	PROTEIN	1	1989
INPP1	PROTEIN	1	1982
INPPL1	PROTEIN	1	1929
IPCEF1	PROTEIN	1	1957
IQGAP2	PROTEIN	1	1951
IRAK4	PROTEIN	1	1925
ISLR2	PROTEIN	1	1851
ISM1	PROTEIN	1	1920
ITGA11	PROTEIN	1	1862
ITGA5	PROTEIN	1	1872
ITGA6	PROTEIN	1	1912
ITGAM	PROTEIN	1	1850
ITGAV	PROTEIN	1	1931
ITGB1	PROTEIN	1	1905
ITGB2	PROTEIN	1	1910
ITGB5	PROTEIN	1	1943
ITGB6	PROTEIN	1	2004
ITGB7	PROTEIN	1	1914
ITIH3	PROTEIN	1	1865
ITM2A	PROTEIN	1	1833
JAM2	PROTEIN	1	1957
KAZALD1	PROTEIN	1	1950
KDR	PROTEIN	1	1937
KEL	PROTEIN	1	1719
KIR2DL3	PROTEIN	1	1922
KIRREL2	PROTEIN	1	1844
KIT	PROTEIN	1	1843
KITLG	PROTEIN	1	1897
KLK1	PROTEIN	1	1933
KLK10	PROTEIN	1	1951
KLK11	PROTEIN	1	1941
KLK13	PROTEIN	1	1912
KLK14	PROTEIN	1	1914
KLK4	PROTEIN	1	1894
KLK6	PROTEIN	1	1917
KLK8	PROTEIN	1	1968
KLRB1	PROTEIN	1	1970
KLRD1	PROTEIN	1	1907
KRT18	PROTEIN	1	1893
KRT19	PROTEIN	1	1942
KYAT1	PROTEIN	1	1884
KYNU	PROTEIN	1	1905
L1CAM	PROTEIN	1	1883
LACTB2	PROTEIN	1	1930
LAG3	PROTEIN	1	1911
LAIR1	PROTEIN	1	1948
LAIR2	PROTEIN	1	1805
LAMA4	PROTEIN	1	1943
LAMP2	PROTEIN	1	1872
LAMP3	PROTEIN	1	1906
LAT	PROTEIN	1	1942
LAT2	PROTEIN	1	1951
LAYN	PROTEIN	1	1956
LBP	PROTEIN	1	1971
LBR	PROTEIN	1	1929
LCN2	PROTEIN	1	1953
LDLR	PROTEIN	1	1928
LEFTY2	PROTEIN	1	1904
LEP	PROTEIN	1	1849
LEPR	PROTEIN	1	1894
LGALS1	PROTEIN	1	1935
LGALS3	PROTEIN	1	1873
LGALS4	PROTEIN	1	1922
LGALS7_LGALS7B	PROTEIN	1	1919
LGALS8	PROTEIN	1	1898
LGALS9	PROTEIN	1	1937
LGMN	PROTEIN	1	1877
LHPP	PROTEIN	1	1756
LIFR	PROTEIN	1	1880
LILRA2	PROTEIN	1	1928
LILRA5	PROTEIN	1	1855
LILRB1	PROTEIN	1	1852
LILRB2	PROTEIN	1	1887
LILRB4	PROTEIN	1	1947
LILRB5	PROTEIN	1	1893
LPL	PROTEIN	1	1849
LPO	PROTEIN	1	1945
LRIG1	PROTEIN	1	1856
LRP1	PROTEIN	1	1942
LRP11	PROTEIN	1	1968
LRPAP1	PROTEIN	1	1861
LRRC25	PROTEIN	1	1921
LRRN1	PROTEIN	1	1861
LSP1	PROTEIN	1	1846
LTA	PROTEIN	1	1787
LTBP2	PROTEIN	1	1870
LTBP3	PROTEIN	1	1976
LTBR	PROTEIN	1	1927
LXN	PROTEIN	1	1721
LY6D	PROTEIN	1	1919
LY75	PROTEIN	1	1841
LY9	PROTEIN	1	1885
LY96	PROTEIN	1	1860
LYN	PROTEIN	1	1943
LYPD3	PROTEIN	1	1908
MAD1L1	PROTEIN	1	1950
MANF	PROTEIN	1	1955
MANSC1	PROTEIN	1	1891
MAP2K6	PROTEIN	1	1953
MAP4K5	PROTEIN	1	1872
MAPK9	PROTEIN	1	1917
MARCO	PROTEIN	1	1865
MASP1	PROTEIN	1	1819
MATN2	PROTEIN	1	1881
MATN3	PROTEIN	1	1835
MAVS	PROTEIN	1	1985
MB	PROTEIN	1	1902
MCAM	PROTEIN	1	1881
MCFD2	PROTEIN	1	1981
MDGA1	PROTEIN	1	1912
MDK	PROTEIN	1	1904
MEGF10	PROTEIN	1	1798
MEGF9	PROTEIN	1	1907
MEPE	PROTEIN	1	1856
MERTK	PROTEIN	1	1957
MESD	PROTEIN	1	1956
MET	PROTEIN	1	1884
METAP2	PROTEIN	1	1852
MFAP5	PROTEIN	1	1943
MFGE8	PROTEIN	1	1931
MGLL	PROTEIN	1	1965
MGMT	PROTEIN	1	1953
MIA	PROTEIN	1	1942
MIF	PROTEIN	1	1837
MILR1	PROTEIN	1	1895
MITD1	PROTEIN	1	1933
MLN	PROTEIN	1	1884
MME	PROTEIN	1	1838
MMP1	PROTEIN	1	1893
MMP10	PROTEIN	1	1908
MMP12	PROTEIN	1	1983
MMP3	PROTEIN	1	1949
MMP8	PROTEIN	1	1855
MMP9	PROTEIN	1	1735
MOG	PROTEIN	1	1909
MPI	PROTEIN	1	1982
MPIG6B	PROTEIN	1	1981
MPO	PROTEIN	1	1866
MSLN	PROTEIN	1	1962
MSMB	PROTEIN	1	1905
MSR1	PROTEIN	1	1844
MSRA	PROTEIN	1	1924
MSTN	PROTEIN	1	1953
MUC13	PROTEIN	1	1960
MYOC	PROTEIN	1	1866
MZB1	PROTEIN	1	1923
NAAA	PROTEIN	1	1940
NADK	PROTEIN	1	1849
NBL1	PROTEIN	1	1968
NCAM1	PROTEIN	1	1857
NCAM2	PROTEIN	1	1839
NCAN	PROTEIN	1	1788
NCF2	PROTEIN	1	1828
NCR1	PROTEIN	1	1948
NCS1	PROTEIN	1	1925
NDRG1	PROTEIN	1	1947
NECTIN2	PROTEIN	1	1966
NECTIN4	PROTEIN	1	1954
NEFL	PROTEIN	1	1870
NELL1	PROTEIN	1	1848
NELL2	PROTEIN	1	1852
NFASC	PROTEIN	1	1957
NFATC1	PROTEIN	1	1949
NID1	PROTEIN	1	1893
NID2	PROTEIN	1	1832
NME3	PROTEIN	1	1894
NMNAT1	PROTEIN	1	1779
NOMO1	PROTEIN	1	1876
NOS1	PROTEIN	1	1923
NOS3	PROTEIN	1	1856
NOTCH1	PROTEIN	1	1871
NOTCH3	PROTEIN	1	1842
NPDC1	PROTEIN	1	1957
NPPC	PROTEIN	1	1943
NPTX1	PROTEIN	1	1879
NPTXR	PROTEIN	1	1902
NPY	PROTEIN	1	2027
NRCAM	PROTEIN	1	1844
NRP2	PROTEIN	1	1879
